DEPT,PS,PZ,GK,NGK,DS,LIT
760.0,50.88,19.05,2.02,1.521,0.213,53
760.4,51.52,15.56,2.25,1.5465,0.211,53
760.6,51.84,15.27,2.33,1.5625,0.21,53
760.8,51.71,14.58,2.51,1.585,0.21,53
761.0,51.84,13.59,2.78,1.6105,0.209,53
761.4,54.91,11.62,3.21,1.7065,0.209,53
761.6,58.36,11.26,3.2,1.767,0.209,53
761.8,63.22,11.98,3.13,1.831,0.209,53
762.0,69.17,13.92,3.5,1.8855,0.21,53
762.4,80.36,18.27,4.03,1.86,0.21,53
762.6,85.34,18.37,4.28,1.8025,0.21,53
762.8,90.14,16.14,4.41,1.748,0.21,53
763.0,93.78,11.6,4.0,1.6905,0.21,53
763.4,88.48,3.66,3.81,1.4565,0.21,53
763.6,85.66,2.51,3.77,1.477,0.21,53
763.8,89.82,2.19,3.9,1.514,0.21,53
764.0,97.94,2.16,3.95,1.555,0.2095,53
764.4,106.06,2.56,3.39,1.674,0.208,53
764.6,102.35,2.92,3.01,1.743,0.209,53
764.8,94.04,3.36,2.74,1.809,0.209,53
765.0,87.13,3.86,2.66,1.878,0.209,53
765.4,86.94,4.66,2.89,1.944,0.21,53
765.6,90.84,4.92,2.88,1.9675,0.21,53
765.8,94.69,5.25,2.85,2.0145,0.21,53
766.0,99.63,5.7,2.81,2.069,0.21,53
766.4,113.36,6.93,2.22,2.1935,0.21,53
766.6,108.37,7.96,1.93,2.2445,0.21,53
766.8,97.37,9.55,1.98,2.189,0.21,53
767.0,89.7,11.43,2.1,2.137,0.21,53
767.4,78.0,14.12,2.34,2.08,0.209,53
767.6,76.21,13.25,2.43,2.0955,0.208,53
767.8,76.91,10.87,2.33,2.063,0.208,53
768.0,77.3,8.51,2.28,1.9905,0.207,53
768.4,83.31,6.34,2.11,1.9295,0.21,53
768.6,89.0,6.34,2.07,1.938,0.209,53
768.8,92.07,6.99,2.11,1.9635,0.209,53
769.0,94.18,8.08,2.15,1.978,0.209,53
769.4,100.51,11.08,2.42,2.1155,0.209,53
769.6,105.81,11.98,2.49,2.144,0.209,53
769.8,114.12,12.0,2.29,2.1215,0.209,53
770.0,120.45,11.47,1.91,2.0705,0.209,53
770.4,99.36,11.46,1.88,1.9975,0.211,53
770.6,85.48,11.9,1.97,1.9515,0.209,53
770.8,76.66,12.28,2.0,1.9365,0.21,53
771.0,69.31,12.73,2.05,1.891,0.209,53
771.4,59.33,12.96,2.21,1.8355,0.209,53
771.6,57.35,12.64,2.17,1.8225,0.209,53
771.8,56.84,12.17,2.19,1.822,0.209,53
772.0,57.8,11.69,2.26,1.816,0.209,53
772.4,60.87,10.89,2.38,1.832,0.208,53
772.6,63.62,10.54,2.33,1.83,0.208,53
772.8,66.37,9.94,2.35,1.829,0.209,53
773.0,67.07,9.0,2.37,1.843,0.21,53
773.4,68.67,6.89,2.17,1.814,0.209,53
773.6,73.4,6.09,2.12,1.804,0.209,53
773.8,77.43,5.65,2.31,1.811,0.209,53
774.0,78.83,5.57,2.57,1.8275,0.21,53
774.4,80.75,6.07,3.11,1.8905,0.212,53
774.6,81.58,6.66,3.38,1.922,0.212,53
