DEPT,PS,PZ,GK,NGK,DS,LIT
740.0,172.33,32.0,7.47,1.8999,0.205,53
740.2,172.11,33.5,7.75,1.9231,0.205,53
740.4,172.91,34.0,8.07,1.9429,0.205,53
740.6,174.67,31.7,8.17,1.9343,0.205,53
740.8,175.78,28.4,7.86,1.8957,0.206,53
741.0,175.15,24.0,7.35,1.848,0.206,53
741.2,174.83,19.9,6.86,1.8203,0.206,53
741.4,173.55,16.6,6.34,1.8292,0.206,53
741.6,173.23,16.1,6.03,1.8521,0.206,53
741.8,173.39,15.6,6.14,1.8687,0.206,53
742.0,174.67,14.6,6.31,1.863,0.206,53
742.2,176.58,12.5,6.17,1.8508,0.206,53
742.4,178.5,11.8,6.37,1.8499,0.206,53
742.6,178.18,10.5,6.83,1.8587,0.206,53
742.8,177.38,10.0,6.84,1.8549,0.206,53
743.0,176.42,9.7,6.36,1.8471,0.206,53
743.2,175.3,10.5,6.13,1.8585,0.206,53
743.4,174.35,12.0,6.44,1.8796,0.206,53
743.6,175.94,15.3,6.66,1.9001,0.206,53
743.8,178.18,19.9,6.48,1.9219,0.206,53
744.0,181.54,28.9,6.48,1.9303,0.206,53
744.2,188.25,36.1,6.9,1.9092,0.206,53
744.4,193.85,44.8,7.15,1.8735,0.206,53
744.6,195.44,51.9,6.79,1.8379,0.206,53
744.8,189.37,58.1,6.49,1.7961,0.206,53
745.0,183.46,64.7,6.53,1.779,0.206,53
745.2,175.62,67.8,6.41,1.7848,0.208,53
745.4,176.26,70.6,6.31,1.8121,0.208,53
745.6,175.14,67.0,6.25,1.8336,0.208,53
745.8,171.15,61.1,6.02,1.8551,0.208,53
746.0,168.59,56.0,5.75,1.8514,0.208,53
746.2,171.31,50.9,5.85,1.8222,0.208,53
746.4,177.22,46.5,6.04,1.8152,0.208,53
746.6,177.06,47.1,6.18,1.8315,0.208,53
746.8,176.26,51.1,6.22,1.827,0.208,53
747.0,174.99,56.0,6.04,1.7963,0.208,53
747.2,173.39,57.5,6.12,1.7535,0.208,53
747.4,172.27,52.9,6.3,1.7419,0.208,53
747.6,173.07,46.5,6.22,1.7534,0.208,53
747.8,180.42,41.2,6.01,1.7649,0.208,53
748.0,187.77,39.1,5.77,1.763,0.208,53
748.2,186.65,46.3,5.6,1.7467,0.208,53
748.4,179.62,52.2,5.7,1.7093,0.208,53
748.6,171.47,69.6,5.98,1.6574,0.206,53
748.8,164.76,70.8,6.31,1.6267,0.206,53
749.0,160.28,73.9,6.67,1.5735,0.206,53
749.2,157.24,67.5,7.01,1.516,0.206,53
749.4,154.37,60.9,7.26,1.4595,0.205,53
749.6,151.65,52.7,7.16,1.4136,0.205,53
749.8,148.93,45.5,7.02,1.3842,0.205,53
750.0,146.05,39.6,6.94,1.3749,0.205,53
750.2,145.26,36.8,7.09,1.3859,0.204,53
750.4,144.78,33.5,7.36,1.4064,0.204,53
750.6,145.1,33.5,7.39,1.4293,0.204,53
750.8,146.21,36.8,7.13,1.4549,0.204,53
751.0,147.17,43.0,7.2,1.4777,0.204,53
751.2,146.05,54.7,7.45,1.4993,0.203,53
751.4,145.1,55.4,7.56,1.5228,0.203,53
751.6,144.62,53.9,7.28,1.5479,0.201,53
751.8,144.62,52.4,7.14,1.5732,0.2,53
752.0,145.42,63.9,7.31,1.5937,0.2,53
752.2,146.21,85.7,7.46,1.614,0.2,53
752.4,146.85,117.6,7.47,1.6259,0.2,53
752.6,146.85,134.3,7.17,1.6236,0.2,53
752.8,146.53,153.4,6.73,1.612,0.2,53
753.0,146.69,152.2,6.65,1.612,0.201,53
753.2,147.01,141.9,6.88,1.6287,0.201,53
753.4,146.85,129.1,7.13,1.6432,0.201,53
753.6,146.85,117.6,7.08,1.6428,0.201,53
753.8,147.17,104.9,7.04,1.647,0.201,53
754.0,147.65,90.8,7.16,1.6681,0.201,53
754.2,148.29,76.7,7.12,1.6756,0.201,53
