DEPT,PS,PZ,GK,NGK,DS,LIT
773.0,73.526,28.132,2.174,1.94,0.19,89
773.2,75.444,39.001,2.251,1.93,0.19,89
773.4,80.239,47.952,2.302,1.961,0.19,89
773.6,85.993,51.788,2.353,1.996,0.19,89
773.8,92.387,46.034,2.404,2.037,0.19,89
774.0,99.1,37.722,2.353,2.058,0.19,133
774.2,105.813,30.05,2.225,2.027,0.19,133
774.4,112.207,29.41,2.097,1.955,0.19,133
774.6,112.207,30.05,2.072,1.858,0.19,133
774.8,107.092,29.41,2.072,1.7,0.19,133
775.0,101.658,29.41,2.123,1.587,0.19,53
775.2,97.502,31.968,2.199,1.49,0.19,53
775.4,99.42,33.886,2.251,1.403,0.19,53
775.6,97.822,42.837,2.251,1.352,0.19,53
775.8,92.707,51.149,2.251,1.337,0.19,53
776.0,86.633,72.247,2.327,1.352,0.19,53
776.2,80.559,82.477,2.378,1.362,0.19,53
776.4,74.805,98.461,2.404,1.326,0.19,53
776.6,68.731,109.969,2.353,1.301,0.19,53
776.8,63.296,108.051,2.353,1.306,0.19,53
777.0,60.419,88.231,2.353,1.321,0.19,53
777.2,57.862,73.526,2.327,1.362,0.19,53
777.4,56.583,59.46,2.276,1.393,0.19,53
777.6,56.263,49.23,2.302,1.434,0.19,53
777.8,56.263,40.919,2.353,1.51,0.19,133
778.0,57.222,34.525,2.43,1.536,0.19,133
778.2,58.181,28.771,2.532,1.608,0.19,133
778.4,59.78,24.296,2.736,1.674,0.19,133
778.6,62.337,20.459,2.89,1.73,0.19,133
778.8,68.091,16.623,2.992,1.787,0.19,133
779.0,78.961,14.705,2.736,1.853,0.19,133
779.2,88.551,14.705,2.481,1.909,0.19,133
779.4,98.781,14.705,2.174,1.961,0.19,133
779.6,109.01,15.984,2.02,1.95,0.19,89
779.8,114.125,17.263,1.816,1.909,0.19,89
780.0,108.371,21.099,1.688,1.858,0.19,91
780.2,96.543,24.296,1.534,1.817,0.19,91
780.4,85.993,26.853,1.611,1.899,0.19,91
780.6,77.682,28.771,1.662,2.001,0.19,91
780.8,82.477,28.132,1.79,2.083,0.19,91
781.0,96.862,26.853,1.892,2.216,0.19,89
781.2,94.944,28.132,1.944,2.283,0.19,89
781.4,90.149,33.886,1.918,2.273,0.19,89
781.6,84.715,45.394,1.867,2.191,0.19,89
781.8,79.28,57.542,1.816,2.027,0.19,133
782.0,75.444,74.165,1.816,1.874,0.19,133
782.2,73.526,78.001,1.867,1.817,0.19,133
782.4,70.969,85.034,1.918,1.843,0.19,133
782.6,69.69,90.149,2.046,1.863,0.19,133
782.8,69.69,90.789,2.199,1.879,0.19,133
783.0,70.329,86.313,2.378,1.843,0.19,133
783.2,72.567,69.05,2.66,1.756,0.19,133
783.4,75.124,52.427,2.89,1.613,0.19,133
783.6,76.083,41.558,3.12,1.418,0.19,24
783.8,74.165,28.771,3.376,1.239,0.19,24
784.0,75.124,15.345,3.606,1.111,0.19,24
784.2,78.641,14.066,3.862,1.193,0.19,24
784.4,80.879,11.508,4.092,1.255,0.19,24
784.6,84.715,12.787,3.862,1.367,0.19,24
784.8,94.625,13.426,3.504,1.505,0.19,133
785.0,104.854,12.787,2.941,1.608,0.191,133
785.2,104.854,12.787,2.353,1.664,0.203,133
785.4,97.822,19.181,1.969,1.664,0.188,53
785.6,90.469,33.247,1.816,1.603,0.188,53
785.8,82.797,50.509,1.841,1.505,0.19,53
786.0,75.444,68.411,1.892,1.367,0.19,53
786.2,69.05,85.674,1.944,1.25,0.19,53
786.4,64.575,99.1,2.02,1.28,0.19,53
786.6,61.059,108.691,2.046,1.316,0.19,53
786.8,58.821,95.264,2.046,1.342,0.19,53
787.0,57.222,79.92,2.072,1.316,0.19,53
787.2,55.624,72.247,2.225,1.28,0.19,53
787.4,54.345,66.493,2.404,1.25,0.19,53
787.6,54.026,60.099,2.557,1.316,0.19,53
787.8,54.345,58.181,2.711,1.393,0.19,53
788.0,54.665,70.329,2.66,1.47,0.19,53
788.2,54.665,85.674,2.506,1.546,0.19,53
788.4,54.985,101.658,2.302,1.628,0.19,53
788.6,55.624,117.642,2.097,1.695,0.19,53
788.8,54.345,141.298,2.02,1.623,0.19,53
789.0,53.706,157.921,2.046,1.454,0.19,53
789.2,52.747,140.019,2.148,1.27,0.19,53
789.4,52.427,114.445,2.276,1.163,0.19,53
789.6,52.427,88.871,2.43,1.137,0.19,53
789.8,53.067,69.05,2.609,1.163,0.19,53
790.0,54.665,48.591,2.813,1.219,0.19,53
790.2,58.501,36.443,3.018,1.296,0.19,53
790.4,64.255,26.853,3.069,1.357,0.19,53
790.6,72.247,22.377,2.941,1.47,0.188,53
790.8,80.239,21.099,2.66,1.516,0.188,53
791.0,87.592,24.296,2.199,1.628,0.188,53
791.2,93.666,21.099,1.816,1.72,0.188,53
791.4,92.067,24.935,1.662,1.756,0.188,53
791.6,87.272,31.968,1.79,1.695,0.188,53
791.8,79.92,37.083,1.867,1.51,0.188,53
792.0,73.526,40.279,1.995,1.342,0.188,53
792.2,70.969,45.394,2.072,1.178,0.188,53
792.4,69.05,40.919,2.148,1.173,0.188,53
792.6,68.411,37.083,2.251,1.219,0.188,53
792.8,68.731,36.443,2.327,1.28,0.188,53
793.0,72.567,32.607,2.276,1.342,0.188,53
793.2,82.157,24.935,2.148,1.408,0.188,53
793.4,93.666,19.82,1.995,1.49,0.188,53
793.6,90.789,19.82,1.892,1.546,0.188,53
793.8,80.559,19.82,1.892,1.51,0.188,53
794.0,72.247,21.738,1.918,1.49,0.188,53
794.2,68.411,24.296,2.02,1.429,0.188,53
794.4,69.05,24.935,2.097,1.372,0.188,53
794.6,71.928,25.574,2.174,1.388,0.188,53
794.8,78.321,21.099,2.251,1.464,0.188,53
795.0,85.034,18.541,2.225,1.5,0.188,53
795.2,90.149,19.82,2.123,1.464,0.188,53
795.4,94.625,21.099,2.072,1.413,0.188,53
795.6,98.141,19.82,2.046,1.367,0.188,53
795.8,100.059,17.902,2.02,1.388,0.188,53
796.0,101.018,19.181,2.097,1.403,0.188,53
796.2,100.059,20.459,1.995,1.357,0.188,53
796.4,95.584,24.935,1.918,1.296,0.188,53
796.6,90.789,26.214,1.969,1.27,0.188,53
796.8,85.034,30.689,2.072,1.321,0.188,53
797.0,78.961,39.64,2.302,1.342,0.188,53
797.2,72.887,49.87,2.557,1.28,0.19,53
797.4,68.411,55.624,2.839,1.224,0.19,53
797.6,67.772,41.558,3.12,1.178,0.19,53
797.8,73.526,26.853,3.248,1.137,0.19,53
798.0,82.157,19.181,3.069,1.173,0.19,53
798.2,88.231,14.066,2.353,1.26,0.19,53
798.4,83.436,12.787,1.79,1.342,0.19,53
798.6,75.764,12.787,1.458,1.444,0.19,53
798.8,72.887,13.426,1.458,1.531,0.19,53
799.0,73.846,19.181,1.534,1.618,0.19,53
799.2,76.723,35.804,1.586,1.669,0.19,53
799.4,78.641,42.198,1.611,1.756,0.19,133
799.6,77.682,49.87,1.688,1.894,0.19,133
799.8,76.083,54.985,1.688,2.063,0.19,133
800.0,78.001,70.969,1.765,2.186,0.19,89
800.2,78.641,82.477,1.892,2.252,0.19,89
800.4,77.682,93.985,2.02,2.134,0.19,89
800.6,80.239,77.362,2.148,1.991,0.19,89
800.8,84.075,46.673,2.302,1.843,0.19,89
801.0,87.911,28.132,2.404,1.705,0.19,91
801.2,94.305,25.574,2.404,1.562,0.19,91
801.4,89.83,21.099,2.404,1.418,0.19,91
801.6,88.871,15.345,2.455,1.347,0.19,91
801.8,93.666,12.148,2.404,1.413,0.19,91
802.0,102.936,15.345,2.097,1.567,0.19,91
802.2,107.732,19.181,1.841,1.72,0.19,89
802.4,105.174,19.181,1.611,1.894,0.19,89
802.6,97.182,20.459,1.458,2.048,0.19,89
802.8,89.19,23.656,1.483,2.048,0.19,89
803.0,82.157,25.574,1.534,1.991,0.19,89
803.2,79.6,28.771,1.637,1.966,0.188,89
803.4,84.395,31.328,1.739,2.017,0.186,89
803.6,94.625,33.886,1.816,2.063,0.187,89
803.8,106.772,35.804,1.892,2.129,0.186,89
804.0,113.166,37.083,1.918,2.058,0.186,89
804.2,108.691,40.279,1.841,1.961,0.186,89
804.4,99.42,47.952,1.688,1.802,0.187,89
804.6,92.707,56.903,1.611,1.618,0.187,89
804.8,85.993,69.05,1.688,1.572,0.187,53
805.0,80.239,85.034,1.765,1.556,0.187,53
805.2,77.362,96.543,1.79,1.582,0.188,53
805.4,75.764,93.346,1.816,1.592,0.188,53
805.6,75.444,79.92,1.79,1.582,0.188,53
805.8,77.682,62.657,1.816,1.618,0.188,53
806.0,84.075,50.509,1.867,1.71,0.19,53
806.2,93.666,42.837,1.892,1.807,0.19,53
806.4,100.059,36.443,1.969,1.904,0.19,53
806.6,105.174,33.886,2.02,1.991,0.191,53
806.8,109.65,31.968,2.072,1.996,0.188,53
807.0,111.568,31.328,2.02,1.909,0.187,53
807.2,109.33,30.05,1.918,1.822,0.188,53
807.4,101.977,27.492,1.867,1.71,0.188,53
807.6,94.944,27.492,1.892,1.592,0.188,53
807.8,87.592,24.935,1.969,1.505,0.188,53
808.0,80.239,25.574,2.072,1.418,0.187,53
808.2,73.846,21.738,2.225,1.352,0.187,53
808.4,74.165,16.623,2.378,1.244,0.19,53
808.6,78.001,10.23,2.634,1.158,0.194,53
808.8,76.403,7.672,2.839,1.111,0.197,53
809.0,72.567,7.672,3.043,1.081,0.197,53
809.2,69.37,9.59,3.401,1.06,0.197,53
809.4,67.132,10.869,3.555,1.019,0.199,53
809.6,66.493,10.869,3.759,1.004,0.199,53
809.8,67.452,8.951,3.734,1.03,0.196,53
810.0,71.288,6.394,3.58,1.076,0.196,53
810.2,83.116,5.754,3.325,1.142,0.196,53
810.4,101.018,7.033,3.146,1.229,0.196,53
810.6,113.166,7.672,3.018,1.316,0.196,53
810.8,109.65,7.033,2.864,1.429,0.195,133
811.0,98.781,7.672,2.736,1.531,0.195,133
811.2,90.789,8.951,2.609,1.654,0.196,133
811.4,88.551,11.508,2.481,1.792,0.19,133
811.6,92.067,14.066,2.378,1.95,0.19,133
811.8,101.658,15.984,2.327,2.068,0.188,133
812.0,112.527,15.984,2.327,2.124,0.19,133
812.2,119.56,16.623,2.378,2.109,0.19,133
812.4,114.125,17.902,2.557,2.037,0.188,133
812.6,106.453,23.656,2.685,1.95,0.19,133
812.8,98.461,40.919,2.967,1.894,0.188,89
813.0,93.346,57.542,3.299,1.935,0.19,89
813.2,93.346,74.165,3.657,1.95,0.19,89
813.4,94.625,82.477,3.938,1.93,0.19,89
813.6,96.223,76.723,4.22,1.874,0.19,89
813.8,95.903,60.099,4.552,1.792,0.191,89
814.0,91.428,47.312,4.808,1.689,0.191,89
814.2,82.477,35.804,5.064,1.597,0.192,89
814.4,78.001,26.853,5.371,1.49,0.192,89
814.6,80.879,19.82,5.371,1.418,0.199,89
814.8,87.592,16.623,4.885,1.306,0.199,89
815.0,92.707,15.345,4.45,1.255,0.199,24
815.2,95.903,16.623,4.092,1.255,0.196,24
815.4,104.215,16.623,3.708,1.306,0.192,24
815.6,101.658,15.984,3.478,1.331,0.191,53
815.8,91.428,15.984,3.222,1.316,0.192,53
816.0,76.723,22.377,3.043,1.301,0.192,53
816.2,62.977,28.771,2.941,1.347,0.192,53
816.4,60.419,44.116,3.018,1.408,0.192,53
816.6,58.821,60.099,3.376,1.48,0.192,53
816.8,60.419,76.083,3.862,1.526,0.194,24
817.0,63.616,88.231,4.527,1.526,0.194,24
817.2,68.411,85.674,5.166,1.495,0.195,24
817.4,74.805,71.608,5.703,1.434,0.194,24
817.6,83.116,54.985,5.78,1.357,0.194,24
817.8,94.305,42.24,5.447,1.326,0.194,24
818.0,101.338,41.047,5.013,1.342,0.194,24
818.2,93.666,29.027,4.424,1.388,0.197,24
818.4,78.321,24.04,4.169,1.464,0.195,24
818.6,80.879,20.204,4.348,1.505,0.194,24
818.8,92.707,19.181,4.603,1.536,0.194,24
819.0,92.067,20.076,4.808,1.623,0.194,24
819.2,97.182,21.61,4.961,1.72,0.194,24
819.4,109.65,22.633,4.885,1.812,0.195,24
819.6,105.174,24.296,4.731,1.909,0.195,24
819.8,96.223,25.958,4.731,1.93,0.195,24
820.0,88.551,27.364,4.731,1.766,0.195,24
820.2,86.633,25.574,4.885,1.551,0.196,24
820.4,83.756,25.702,5.115,1.556,0.196,24
820.6,81.838,27.62,5.371,1.608,0.196,24
820.8,81.198,30.178,5.805,1.638,0.196,24
821.0,81.198,28.004,6.521,1.664,0.197,24
821.2,83.436,29.283,7.263,1.638,0.197,24
821.4,82.157,31.201,8.184,1.551,0.197,24
821.6,81.518,28.132,8.721,1.449,0.197,18
821.8,83.116,23.656,9.13,1.347,0.199,18
