DEPT,PS,PZ,GK,NGK,DS,LIT
694.0,196.8,82.93,3.157,1.8373,0.2072,53
694.4,193.0,87.55,3.381,1.8927,0.2068,53
694.6,192.7,86.53,3.102,1.8488,0.2067,53
694.8,192.8,81.64,3.066,1.7595,0.2069,53
695.0,193.3,73.11,3.429,1.7173,0.2065,53
695.4,192.7,58.17,3.429,1.7065,0.2066,53
695.6,194.9,54.26,3.413,1.7711,0.2066,53
695.8,197.5,53.52,3.37,1.8464,0.2061,53
696.0,197.5,53.12,3.421,1.9002,0.2068,53
696.4,202.7,64.35,3.716,1.9465,0.2089,53
696.6,205.2,67.52,3.657,1.9962,0.2144,53
696.8,206.0,59.5,3.755,1.9382,0.2158,53
697.0,210.5,39.18,3.897,1.8257,0.2162,53
697.4,222.8,10.44,3.972,1.6105,0.2164,53
697.6,221.9,8.18,3.598,1.6196,0.2163,53
697.8,220.5,7.22,3.334,1.5923,0.2164,53
698.0,222.3,6.61,2.795,1.6668,0.2164,53
698.4,228.1,6.53,2.712,1.7024,0.2155,53
698.6,224.9,8.04,2.708,1.7247,0.2146,53
698.8,223.0,13.38,2.909,1.6751,0.2145,53
699.0,220.5,31.3,2.87,1.6759,0.2133,53
699.4,209.3,55.47,3.003,1.5542,0.2124,53
699.6,205.9,58.13,2.752,1.541,0.2122,53
699.8,203.9,55.22,2.669,1.4946,0.2096,53
700.0,201.5,46.32,3.011,1.5691,0.2082,53
700.4,200.3,29.97,3.61,1.5128,0.2081,53
700.6,201.1,24.65,3.952,1.5095,0.2084,53
700.8,201.9,19.68,3.429,1.5575,0.2082,53
701.0,202.9,16.74,2.696,1.637,0.208,53
701.4,212.4,9.7,2.094,1.8646,0.2202,53
701.6,226.3,7.94,2.161,2.0135,0.2204,53
701.8,240.3,7.35,2.2,1.9647,0.2196,53
702.0,242.7,7.59,2.267,2.0524,0.2152,53
702.4,237.5,15.45,2.87,1.9813,0.2098,53
702.6,221.1,23.96,3.133,1.9871,0.2099,53
702.8,208.4,28.79,3.043,2.0334,0.2122,53
703.0,204.9,30.83,3.314,2.0756,0.2164,53
703.4,204.2,32.43,3.558,2.1559,0.2167,53
703.6,206.8,34.15,3.649,2.0814,0.2167,53
703.8,207.9,33.37,3.791,1.8968,0.2164,53
704.0,210.8,32.0,3.866,1.8704,0.2167,53
704.4,211.1,22.87,4.125,1.7197,0.2167,53
704.6,208.2,18.27,4.586,1.7181,0.2166,53
704.8,208.7,14.26,4.255,1.7677,0.2172,53
705.0,210.3,11.91,4.035,1.9018,0.2176,53
705.4,214.3,9.17,3.216,2.0003,0.2172,53
705.6,220.0,10.09,3.035,2.0351,0.217,53
705.8,230.8,11.74,2.641,2.1104,0.2175,53
706.0,229.9,16.98,2.649,2.1964,0.2172,53
706.4,219.9,28.01,2.944,2.0483,0.2172,53
706.6,214.6,36.42,2.681,2.0516,0.2171,53
706.8,213.1,38.77,2.448,2.0491,0.2174,53
707.0,206.0,35.52,2.256,2.069,0.2175,53
707.4,211.3,20.81,2.004,2.0069,0.2182,53
707.6,214.7,18.27,2.008,1.9589,0.2185,53
707.8,216.4,16.82,2.299,1.9655,0.2183,53
708.0,216.1,15.96,2.504,2.0657,0.2187,53
708.4,224.9,16.47,2.334,2.0748,0.2203,53
708.6,226.2,18.78,1.886,1.9664,0.2203,53
708.8,227.3,20.85,1.689,1.8522,0.2209,53
709.0,231.3,21.12,1.846,1.6999,0.2211,53
709.4,237.0,31.73,2.008,1.6527,0.2106,53
709.6,223.9,47.41,1.905,1.6469,0.2108,53
709.8,211.1,57.0,1.886,1.5774,0.2106,53
710.0,200.5,57.78,1.893,1.5575,0.2105,53
710.4,190.8,51.4,2.106,1.5062,0.2106,53
710.6,189.3,43.34,2.24,1.4599,0.2108,53
710.8,188.1,32.0,2.33,1.4582,0.2115,53
711.0,187.8,23.35,2.358,1.4483,0.2117,53
711.4,190.1,15.22,2.429,1.5592,0.2122,53
711.6,190.5,13.46,2.59,1.685,0.2131,53
711.8,190.5,11.74,2.641,1.7686,0.2128,53
712.0,191.3,10.33,2.763,1.8762,0.2141,53
712.4,190.7,12.91,2.763,1.9208,0.2127,53
712.6,190.8,18.78,3.07,2.0036,0.2129,53
