DEPT,PS,PZ,GK,NGK,DS,LIT
1718.2,72.89,12.02,14.91,1.237,0.201,89
1718.4,73.21,11.76,14.55,1.225,0.204,89
1718.6,73.21,11.25,14.19,1.229,0.205,89
1718.8,73.21,10.74,13.84,1.244,0.203,89
1719.0,73.21,10.74,13.63,1.26,0.2,89
1719.2,73.21,10.48,13.07,1.266,0.204,89
1719.4,73.21,10.74,12.2,1.243,0.209,89
1719.6,73.21,11.25,11.69,1.22,0.212,89
1719.8,73.21,12.02,11.23,1.235,0.208,89
1720.0,73.21,13.3,11.05,1.246,0.21,89
1720.2,73.21,14.32,11.43,1.26,0.218,89
1720.4,73.21,15.86,11.87,1.269,0.226,89
1720.6,73.21,16.37,11.94,1.248,0.224,89
1720.8,73.53,15.86,12.2,1.231,0.218,89
1721.0,73.53,15.09,11.92,1.22,0.233,89
1721.2,73.85,14.32,11.64,1.212,0.227,89
1721.4,73.85,13.55,11.61,1.206,0.217,89
1721.6,73.85,13.3,11.84,1.21,0.22,24
1721.8,74.17,13.04,12.1,1.223,0.224,24
1722.0,74.17,13.55,12.02,1.241,0.233,24
1722.2,74.49,13.81,11.81,1.254,0.227,24
1722.4,74.49,14.07,11.76,1.267,0.214,89
1722.6,74.49,14.32,11.81,1.271,0.206,89
1722.8,74.81,14.07,11.71,1.254,0.206,89
1723.0,74.81,13.81,11.53,1.239,0.209,89
1723.2,75.12,13.3,11.35,1.244,0.217,89
1723.4,75.12,13.3,11.2,1.266,0.214,89
1723.6,75.44,13.3,11.12,1.283,0.212,89
1723.8,75.44,13.55,11.15,1.287,0.203,89
1724.0,75.44,14.07,11.33,1.279,0.205,89
1724.2,75.76,14.58,11.56,1.266,0.212,89
1724.4,75.76,15.09,11.81,1.269,0.209,89
1724.6,75.76,15.09,11.92,1.281,0.203,24
1724.8,76.08,15.09,11.66,1.292,0.204,24
1725.0,76.08,14.83,11.38,1.294,0.205,24
1725.2,76.08,14.58,11.12,1.302,0.205,89
1725.4,76.08,14.32,11.15,1.304,0.206,89
1725.6,76.08,13.81,11.12,1.289,0.206,89
1725.8,76.08,13.81,10.87,1.271,0.206,89
1726.0,76.08,14.07,10.59,1.26,0.206,89
1726.2,76.08,14.58,10.38,1.244,0.206,89
1726.4,76.08,15.09,10.28,1.223,0.206,89
1726.6,76.4,15.86,10.26,1.221,0.206,89
1726.8,76.4,16.88,10.48,1.235,0.206,89
1727.0,76.4,17.39,10.72,1.256,0.208,89
1727.2,76.4,18.67,11.07,1.266,0.208,89
1727.4,76.4,19.18,11.43,1.258,0.208,89
1727.6,76.72,19.95,11.79,1.214,0.208,24
1727.8,76.72,19.95,12.02,1.185,0.209,24
1728.0,76.72,19.69,11.97,1.195,0.209,24
1728.2,76.72,19.18,11.64,1.21,0.206,24
1728.4,76.72,18.41,11.3,1.225,0.204,89
1728.6,76.72,17.39,11.28,1.227,0.204,89
1728.8,76.72,16.62,11.46,1.216,0.203,89
1729.0,76.72,16.11,11.48,1.22,0.203,89
1729.2,77.04,15.86,11.46,1.235,0.203,89
1729.4,77.04,15.6,11.64,1.252,0.203,24
1729.6,77.04,15.35,11.81,1.264,0.203,24
1729.8,77.36,15.35,11.59,1.271,0.203,24
1730.0,77.36,15.35,11.02,1.248,0.203,24
1730.2,77.36,15.6,10.82,1.233,0.203,89
1730.4,77.36,15.86,10.79,1.223,0.203,89
1730.6,77.68,16.62,11.0,1.21,0.203,89
1730.8,77.68,17.65,11.33,1.208,0.203,89
1731.0,77.68,18.67,11.59,1.177,0.203,24
1731.2,78.0,19.95,11.69,1.133,0.203,24
1731.4,78.0,21.23,11.38,1.11,0.203,18
1731.6,79.6,22.5,11.02,1.108,0.203,18
1731.8,79.92,23.78,10.64,1.118,0.203,18
1732.0,80.24,24.55,10.59,1.126,0.203,18
1732.2,80.88,25.32,10.77,1.114,0.203,18
1732.4,81.2,24.81,10.84,1.089,0.203,18
1732.6,81.84,23.53,10.74,1.074,0.203,18
1732.8,82.8,21.99,10.74,1.062,0.203,18
1733.0,83.12,20.72,10.97,1.041,0.203,18
1733.2,83.44,18.67,11.3,1.016,0.203,18
